company name;innovation
Fibersort ;strategy
C&A Global ;strategy
H&M ;strategy
EILEEN FISHER ;strategy
The Renewal Workshop ;strategy
Country Road Group ;strategy
GAP Inc ;strategy
prAna ;strategy
Plastics For Change ;synthetic fabrics
Ioniqa ;synthetic fabrics
Thread International ;synthetic fabrics
perPETual ;synthetic fabrics
Gr3n-Recyling ;synthetic fabrics
Aquafil ;synthetic fabrics
Ecoalf ;synthetic fabrics
Virent ;synthetic fabrics
Bolt Threads ;synthetic fabrics
Tierra ;synthetic fabrics
Chetna Coalition ;plant based
Meta Wear ;plant based
Patagonia ;plant based
Tchibo ;plant based
Fatface ;plant based
Recover ;plant based
Terre De Lin ;plant based
Hemp Fortex ;plant based
Outerknown ;plant based
HempAge ;plant based
Evrnu ;man made cellulosics
Hessnatur ;man made cellulosics
STELLA McCARTNEY ;man made cellulosics
Orange Fiber ;man made cellulosics
Allied Feather & Down ;animal fibers
Ramblers Way ;animal fibers
Triaz Group ;animal fibers
Vegea;leather alternatives